4.100000 	 0.007203
6.700000 	 0.000825
3.400000 	 0.012157
0.000000 	 0.000000
6.900000 	 0.000692
2.400000 	 0.023601
7.800000 	 0.000309
5.800000 	 0.001798
6.200000 	 0.001276
6.400000 	 0.001073
0.500000 	 0.033240
4.500000 	 0.005262
8.100000 	 0.000236
2.700000 	 0.019609
6.100000 	 0.001391
9.100000 	 0.000094
9.500000 	 0.000065
4.200000 	 0.006665
2.700000 	 0.019609
3.600000 	 0.010509
9.100000 	 0.000094
0.400000 	 0.029394
0.200000 	 0.017955
5.300000 	 0.002741
9.200000 	 0.000086
8.200000 	 0.000215
2.100000 	 0.027952
1.600000 	 0.035243
1.800000 	 0.032417
9.500000 	 0.000065
4.700000 	 0.004483
2.600000 	 0.020891
7.100000 	 0.000579
3.800000 	 0.009055
6.900000 	 0.000692
1.200000 	 0.039521
6.700000 	 0.000825
9.900000 	 0.000044
3.500000 	 0.011308
9.400000 	 0.000071
0.300000 	 0.024368
1.100000 	 0.040056
2.200000 	 0.026474
3.300000 	 0.013058
7.300000 	 0.000485
6.400000 	 0.001073
4.100000 	 0.007203
1.100000 	 0.040056
5.300000 	 0.002741
6.800000 	 0.000756
4.700000 	 0.004483
4.400000 	 0.005697
6.200000 	 0.001276
5.700000 	 0.001958
3.700000 	 0.009759
5.900000 	 0.001651
2.300000 	 0.025020
4.100000 	 0.007203
2.900000 	 0.017205
7.800000 	 0.000309
1.600000 	 0.035243
3.500000 	 0.011308
9.000000 	 0.000103
4.200000 	 0.006665
8.800000 	 0.000124
0.600000 	 0.036084
4.000000 	 0.007779
4.200000 	 0.006665
6.400000 	 0.001073
4.800000 	 0.004135
4.600000 	 0.004858
0.500000 	 0.033240
9.000000 	 0.000103
2.900000 	 0.017205
7.000000 	 0.000633
5.000000 	 0.003512
0.600000 	 0.036084
0.100000 	 0.009922
9.300000 	 0.000078
4.800000 	 0.004135
2.900000 	 0.017205
2.300000 	 0.025020
8.400000 	 0.000179
5.400000 	 0.002521
5.600000 	 0.002131
4.000000 	 0.007779
6.600000 	 0.000901
7.600000 	 0.000370
3.100000 	 0.015021
0.800000 	 0.039369
4.400000 	 0.005697
3.900000 	 0.008396
2.600000 	 0.020891
2.300000 	 0.025020
3.700000 	 0.009759
3.800000 	 0.009055
1.800000 	 0.032417
8.200000 	 0.000215
2.900000 	 0.017205
4.100000 	 0.007203
